,Title,Published_date,Views,Likes,Favorite,Month
38,Differential Amplifiers – Part - I by Mr. Mohammad Khadir,2022-06-13,12,0,0,Jun
39,Concoct 2022  An Institute Level Project Expo | 11 June 2022 | Day 01| at IARE,2022-06-13,69,1,0,Jun
40,Metal Forming by Dr. N Venkatachalapathi,2022-06-13,26,2,0,Jun
41,Symmetric and Antisymmetric FIR Filters by Dr. S China Venkateswarlu,2022-06-13,14,2,0,Jun
42,Stability Analysis of Solution of FDE by Mr. P Venkata Mahesh,2022-06-13,5,0,0,Jun
43,Velocity and Acceleration Diagrams Definitions and Terminology by Dr. K Viswanath Allamraju,2022-06-13,5,0,0,Jun
44,"Straight Line Motion Mechanisms, Steering Gears, Hooke’s Joint - DT by Dr. K Viswanath Allamraju",2022-06-13,7,1,0,Jun
45,Analysis of Epicyclic Gear Train Problems by Dr. K Viswanath Allamraju,2022-06-11,35,2,0,Jun
46,Introduction to Kinematics of Machines   Definitions and Terminology by Dr. K Viswanath Allamraju,2022-06-11,20,2,0,Jun
47,Types of Gear Train by Dr. K Viswanath Allamraju,2022-06-11,5,0,0,Jun
48,Biodiversity and Biotic Resource Discussion on Tutorial Question Bank by Dr. Shikha Pandey,2022-06-11,9,1,0,Jun
49,Natural Resource Discussion on Tutorial Question Bank by Dr. Shikha Pandey,2022-06-11,6,1,0,Jun
50,Analysis of Epicyclic Gear Train by Dr. K Viswanath Allamraju,2022-06-11,6,0,0,Jun
51,Various Difficulties in Public Speaking by Ms. S Veena,2022-06-11,15,2,0,Jun
52,"Path of Contact, Arc of Contact and Contact Ratio Problems - Part - I by Dr. K Viswanath Allamraju",2022-06-11,5,0,0,Jun
53,Introduction of Nuclear Materials by Dr. Santhosh Singh,2022-06-10,41,3,0,Jun
54,Soldering and Brazing by Dr. N Venkatachalapathi,2022-06-10,19,1,0,Jun
55,Introduction to Integrated Circuits by Mr. Mohammad Khadir,2022-06-10,21,0,0,Jun
56,Different ways of greeting people in Formal and Informal situation by Ms. S Veena,2022-06-10,19,4,0,Jun
57,Oral Presentation Requires a Good Planning by Ms. S Veena,2022-06-10,14,1,0,Jun
58,Introduction to Finite Differences by Mr. P Venkata Mahesh,2022-06-10,6,0,0,Jun
59,Classification of Partial Differential Equations by Mr. P Venkata Mahesh,2022-06-10,8,0,0,Jun
60,"Path of Contact, Arc of Contact and Contact Ratio   Part 2 by Dr. K Viswanath Allamraju",2022-06-10,8,0,0,Jun
61,"Path of Contact, Arc of Contact and Contact Ratio Part 1 by Dr. K Viswanath Allamraju",2022-06-09,12,0,0,Jun
62,"Concept of Security, Integrity and Recovery in DBMS by Mr. Y Manohar Reddy",2022-06-09,15,0,0,Jun
63,Environment and Ecosystem Discussion on Tutorial Question Bank by Dr. Shikha Pandey,2022-06-09,8,2,0,Jun
64,Relational Database Design or Model in DBMS by Mr. Y Manohar Reddy,2022-06-09,6,0,0,Jun
65,Solid State Welding Processes by Dr. N Venkatachalapathi,2022-06-09,14,0,0,Jun
66,Multiplexer and Demultiplexer by Ms. V Bindusree,2022-06-09,16,1,0,Jun
67,Environmental Legislations and Sustainable Development Definition and Terminology Part - II,2022-06-09,6,0,0,Jun
68,Welding and its Types - Part - II by Dr  N Venkatachalapathi,2022-06-09,26,2,0,Jun
69,world environmental day 2022 Paper Presentation at IARE,2022-06-09,10,0,0,Jun
70,Modes of Operation of Fuel Systems - Part - II by Dr. Yagya Dutta Dwivedhi,2022-06-08,15,0,0,Jun
71,Fuel Tank Safety by Dr. Yagya Dutta Dwivedhi,2022-06-08,20,1,0,Jun
72,Classification of Gears - Part - II by Dr. K Viswanath Allamraju,2022-06-08,5,0,0,Jun
73,Gear Terminology - Part - I by Dr. K Viswanath Allamraju,2022-06-08,5,0,0,Jun
74,Classification of Gears - Part - I by Dr. K Viswanath Allamraju,2022-06-08,10,1,0,Jun
75,Gear Terminology - Part - II by Dr. K Viswanath Allamraju,2022-06-08,6,1,0,Jun
76,PowerPoint Presentation and the Ways to Make PowerPoint Presentation by Ms. S Veena,2022-06-08,13,1,0,Jun
77,The Usage of Idioms and Phrases in Spoken English by Ms. S Veena,2022-06-08,6,1,0,Jun
78,"Environmental Pollution, Pollution Control Technologies - DT - Part - I by Dr. Shikha Pandey",2022-06-07,17,0,0,Jun
79,Environmental Legislations and Sustainable Development - DT - Part - I by Dr. Shikha Pandey,2022-06-07,11,1,0,Jun
80,Welding and its Types by Dr. N Venkatachalapathi,2022-06-07,37,2,0,Jun
81,"Environmental Pollution, Pollution Control Technologies - DT - Part - II by Dr. Shikha Pandey",2022-06-07,12,0,0,Jun
82,DMA Controller 8257 by Prof. V R Seshagiri Rao,2022-06-07,19,0,0,Jun
83,Concept of Views in DBMS by Mr. Y Manohar Reddy,2022-06-07,2,0,0,Jun
84,Plastic and Chemistry of some Important Thermoplastic and Thermosetting Resins by Dr. Archana Kushwa,2022-06-07,15,1,0,Jun
85,Concept of Sub Query in DBMS by Mr. Y Manohar Reddy,2022-06-07,4,0,0,Jun
86,CAM Profiles - Discussion on Tutorial Question Bank – Part - II by Dr. K Viswanath Allamraju,2022-06-06,28,2,0,Jun
87,CAM Profiles - Discussion on Tutorial Question Bank – Part - I by Dr. K Viswanath Allamraju,2022-06-06,14,0,0,Jun
88,Special Approaches in Developing Reading Technique by Ms. S Veena,2022-06-06,22,3,0,Jun
89,process of Building Vocabulary by Ms. S Veena,2022-06-06,16,1,0,Jun
90,Usage of Reading Techniques in Different Situations by Ms. S Veena,2022-06-06,13,1,0,Jun
91,Roller follower with Uniform Acceleration and Retardation with Off set by Dr. K Viswanath Allamraju,2022-06-06,9,0,0,Jun
92,The Elements of Paragraph in Detail by Ms. S Veena,2022-06-04,52,2,0,Jun
93,Classifier Accuracy by Ms. Priyanka Gupta,2022-06-04,17,0,0,Jun
94,Types of data – data Objects by Ms. Priyanka Gupta,2022-06-04,6,0,0,Jun
95,Logical Bridges and Verbal Bridges in Writing by Ms. S Veena,2022-06-04,21,1,0,Jun
96,"Displacement, Velocity and Acceleration Diagrams when the Follower Moves with SHM by Dr. K Viswanath",2022-06-04,13,0,0,Jun
97,CAMs - Definitions and Terminology by Dr  K Viswanath Allamraju,2022-06-04,6,0,0,Jun
98,Biodiversity and Biotic Resources - Part - II - Definition and Terminology by Dr. Shikha Pandey,2022-06-03,12,1,0,Jun
99,Biodiversity and Biotic Resources - Part - I - Definition and Terminology by Dr. Shikha Pandey,2022-06-03,15,1,0,Jun
100,Fit Binomial and Poisson Distributions by Dr. S Jagadha,2022-06-03,42,1,0,Jun
101,Terms Used in CAMs by Dr. K Viswanath Allamraju,2022-06-03,9,0,0,Jun
102,Other Classification Methods by Ms. Priyanka Gupta,2022-06-03,6,0,0,Jun
103,"Quinhydrone Electrode, Glass Electrode by Ms. B Sravanthi",2022-06-03,43,5,0,Jun
104,Introduction to Wireless Communication and Networks by Mr. A Karthik,2022-06-02,15,1,0,Jun
105,Natural Resource – Part   II   Definition and Terminology by Dr. Shikha Pandey,2022-06-02,9,0,0,Jun
106,Introduction to Classification Using Association Rules by Ms. Priyanka Gupta,2022-06-02,6,0,0,Jun
107,Operation of Asynchronous and Synchronous Counters by Dr. B Ravi Kumar,2022-06-02,13,0,0,Jun
108,"Zero’s of an Analytic Function, Poles, Residues by Ms. P NagaLakshmi Devi",2022-06-02,5,0,0,Jun
109,Usage of One word Substitutes in English Language by Ms. S Veena,2022-06-02,7,2,0,Jun
110,Programmable Communication Interface 8251 USART by Prof  VR. Seshagiri Rao,2022-06-02,80,2,0,Jun
111,Conductometry by Dr. VNSR Venkateswara Rao,2022-06-01,17,0,0,Jun
112,The aspects to improve listening Comprehension by Ms. S Veena,2022-06-01,20,5,0,Jun
113,Treatment of Water for Municipal Supply by Dr. Susmitha Thota,2022-06-01,20,2,0,Jun
114,Natural Resource – Part - I - Definition and Terminology by Dr. Shikha Pandey,2022-06-01,10,0,0,Jun
115,Displacement Diagrams – Part - I by Dr. K Viswanath Allamraju,2022-06-01,24,3,0,Jun
116,Displacement Diagrams – Part - II by Dr. K Viswanath Allamraju,2022-06-01,6,1,0,Jun
117,Usage of Idioms in English Language by Ms. S Veena,2022-06-01,13,4,0,Jun
118,Environment and Ecosystem Definition and Terminology Part - II by Dr. Shikha Pandey,2022-05-31,22,1,0,May
119,Usage of Phrases and Clauses by Ms. S Veena,2022-05-31,23,4,0,May
120,Roller follower with Uniform Acceleration and Retardation by Dr. K Viswanath Allamraju,2022-05-31,24,2,0,May
121,Flat faced follower with SHM with Offset by Dr. K Viswanath Allamraju,2022-05-31,18,2,0,May
122,Shift Registers by Dr. B Ravi Kumar,2022-05-31,16,0,0,May
123,Usage of Preposition by Ms. S Veena,2022-05-31,5,2,0,May
124,Principles of Data Presentation - Precision Principle by Dr. M Lakshmi Prasad,2022-05-31,8,0,0,May
125,Design thinking Part 4 Recap of Previous Classes by Mr. B Satyanarayana,2022-05-30,25,1,0,May
126,Subject Verb Agreement by Ms. S Veena,2022-05-30,23,2,0,May
127,Punctuation Tools and their Role in Language - II by Ms. S Veena,2022-05-30,15,2,0,May
128,CAM profile of a flat faced follower with SHM by Dr. K Viswanath Allamraju,2022-05-30,19,3,0,May
129,Principles of Data Presentation Efficiency Principle by Dr. M Lakshmi Prasad,2022-05-30,11,0,0,May
130,Principles of Data Presentation Clarity Principle by Dr. M Lakshmi Prasad,2022-05-30,5,0,0,May
131,Rule - Based Classification by Ms. Priyanka Gupta,2022-05-30,10,0,0,May
132,Rule – Based Classifier Basics by Ms. Priyanka Gupta,2022-05-30,6,0,0,May
133,Punctuation tools and Their role in Language - I by Ms. S Veena,2022-05-30,13,2,0,May
134,Root Words From Foreign Languages and Their Usage in English by Ms. S Veena,2022-05-30,33,2,0,May
135,Environmental and Ecosystem - Definition and Terminology by Dr. Shikha Pandey,2022-05-30,5,0,0,May
136,Spandana 2k22 Cultural Fest  at IARE | Annual Day Celebrations,2022-05-27,6870,141,0,May
137,Traditional Day Celebrations at IARE | Spandana 2k22,2022-05-26,2309,66,0,May
138,Samskruthi Traditional Day at IARE | Spandana 2k22,2022-05-26,1689,31,0,May
139,INSTITUTE OF AERONAUTICAL ENGINEERING | Technical Fest Consortium & Cultural Fest Spandana - 2021,2022-05-26,0,0,0,May
140,Rangoli Competition | Mehendi Competition | Craft Competition at IARE | Spandana 2k22,2022-05-25,369,7,0,May
141,Sports Events |  Spandana 2k22 at IARE | Presented by Student Council Club IARE - DAY-5,2022-05-25,542,9,0,May
142,Encoders and Decoders by Ms. V Bindusree,2022-05-25,29,0,0,May
143,Power Series Expansion of Complex Function by Ms. P NagaLakshmi Devi,2022-05-25,8,0,0,May
144,Problems on Conversion between Flip Flops by Dr. B Ravi Kumar,2022-05-25,12,0,0,May
145,Role and Significance of Grammar in Learning Effective English Language by Ms. S Veena,2022-05-25,11,2,0,May
146,Architecture and Signal Description of 8086 Microprocessor by Prof. VR Seshagiri Rao,2022-05-25,8,0,0,May
147,Roller follower with SHM Off Set by Dr. K Viswanath Allamraju,2022-05-25,10,2,0,May
148,Sports Events |  Spandana 2k22 at IARE | Presented by Student Council Club IARE - DAY-4,2022-05-24,468,18,0,May
149,Conversion between Flip Flops by Dr. B Ravi Kumar,2022-05-24,5,0,0,May
150,Art Competition at IARE | Spandana 2k22 | Cultural Activities | Fine Art Center Organizes |,2022-05-24,180,3,0,May
151,Environmental Ethics and Concepts of Green Building by Dr. Shikha Pandey,2022-05-24,10,0,0,May
152,Environmental Education by Dr. Shikha Pandey,2022-05-24,6,0,0,May
153,Principle of Inclusion - Exclusion by Dr. S Sreekanth,2022-05-24,3,0,0,May
154,Excitation tables of all Flip Flops by Dr. B Ravi Kumar,2022-05-24,7,0,0,May
155,Design Thinking Part - 3 by Mr. B Satyanarayana,2022-05-24,8,1,0,May
156,Essentials and Barriers of Speaking Skills by Ms. S Veena,2022-05-24,15,2,0,May
157,CAM profile of a Roller Follower with SHM by Dr. K Viswanath Allamraju,2022-05-24,21,3,0,May
158,Diagrams by Dr. M lakshmi Prasad,2022-05-24,5,0,0,May
159,Introduction About Bayesian Classification by Ms. Priyanka Gupta,2022-05-24,7,0,0,May
160,Food competition at IARE | Food Championship | Spandana 2k22 at IARE |,2022-05-23,611,11,0,May
161,Sports Events |  Spandana 2k22 at IARE | Presented by Student Council Club IARE - DAY-3,2022-05-23,565,15,0,May
162,Diagrams Part - 2 by Dr. M Lakshmi Prasad,2022-05-23,8,0,0,May
163,Crazy Consumerism and Urban Sprawl by Dr. Shikha Pandey,2022-05-23,10,1,0,May
164,The Confetti Night with Noel Sean (Rapper) and Mohana (Singer) Promo,2022-05-23,311,8,0,May
165,CAM Profile of a Roller Follower with Uniform Velocity Motion by Dr. K Viswanath Allamraju,2022-05-23,29,5,0,May
166,"Internet Control Protocols OSPF, IP by Ms. K Naveena",2022-05-23,2,0,0,May
167,Addressing Modes of 8086 by Prof. V R Seshagiri Rao,2022-05-23,8,2,0,May
168,Issues Regarding Classification and Prediction and Back Propogation by Ms. Priyanka Gupta,2022-05-23,13,1,0,May
169,Bayesian Classification by Ms. Priyanka Gupta,2022-05-23,7,0,0,May
170,Effectiveness of Speaking Skills by Ms. S Veena,2022-05-23,10,2,0,May
171,Singing Competition | Spandana 2k22 at IARE,2022-05-21,559,16,0,May
172,Sports Events |  Spandana 2k22 at IARE | Presented by Student Council Club IARE - DAY-2,2022-05-21,722,18,0,May
173,"JK, D and T – Flip Flops by Dr. B Ravi Kumar",2022-05-21,15,0,0,May
174,Power Series Expansion of Complex Function by Ms. P Naga Lakshmi Devi,2022-05-21,10,0,0,May
175,CAM Profile of a Knife edge follower with Uniform Velocity with Offset by Dr. K Viswanath Allamraju,2022-05-21,31,2,0,May
176,Single Source Shortest path   Dijkstra’s Algorithm by Dr. K Suvarchala,2022-05-21,4,0,0,May
177,Minimum Cost Spanning Tree Using Kruskal Algorithm by Dr. K Suvarchala,2022-05-21,6,0,0,May
178,Minimum Cost Spanning Tree Using Prims Algorithm by Dr. K Suvarchala,2022-05-21,1,0,0,May
179,Draw a CAM Profile of a Knife edge follower with SHM during outstroke and Uniform Velocity Motion du,2022-05-21,35,4,0,May
180,Draw a CAM Profile of a Knife edge follower with Uniform Velocity Motion by Dr. K Viswanath Allamraj,2022-05-21,24,3,0,May
181,Sports Events |  Spandana 2k22 at IARE | Presented by Student Council Club IARE,2022-05-20,1022,34,0,May
182,Dance Competition |  Spandana 2k22 at IARE | Presented by Plugs Club IARE,2022-05-20,1322,50,0,May
183,Sequential Circuits Fundamentals by Dr. B Ravi Kumar,2022-05-20,7,0,0,May
184,Generating Talks Based on Visual or Written Prompts by Ms. S Veena,2022-05-20,10,2,0,May
185,Verbal and Non Verbal Communication by Ms. S Veena,2022-05-20,8,2,0,May
186,Population and its Explosion by Dr. Shikha Pandey,2022-05-20,22,1,0,May
187,Hazards and Hazard Free Relations by Dr. B Ravi Kumar,2022-05-20,0,0,0,May
188,Introduction to CAMs by Dr. K Viswanath Allamraju,2022-05-20,21,2,0,May
189,Draw a CAM Profile of a Knife edge follower with Simple Harmonic Motion by Dr. K Viswanath Allamraju,2022-05-20,37,5,0,May
190,Different Types of Listeners by Ms. S Veena,2022-05-20,8,2,0,May
191,Problems on Normal Distribution by Dr. S Jagadha,2022-05-20,13,0,0,May
192,Code Converters by Ms. V Bindusree,2022-05-20,4,0,0,May
193,Barriers of Listening Skills Ms. S Veena,2022-05-19,25,3,0,May
194,Hook’s Joint and Problems by Dr. K Viswanath Allamraju,2022-05-19,11,1,0,May
195,Phonetics   Listening to the Sound of English Language by Ms. S Veena,2022-05-19,19,2,0,May
196,Ackerman Steering Gear Mechanism and Problems by Dr. K Viswanath Allamraju,2022-05-19,5,0,0,May
197,Effectiveness of Listening Skills by Ms. S Veena,2022-05-19,8,1,0,May
198,Problems on Hooke’s Joint - 2 by Dr. K Viswanath Allamraju,2022-05-19,13,1,0,May
199,Problems on Steering Gear Mechanisms by Dr. K Viswanath Allamraju,2022-05-19,3,0,0,May
200,Sustainable Development by Dr. Shikha Pandey,2022-05-19,9,1,0,May
201,Power Series Expansion of Complex Function by Ms. P Naga Lakshmi Devi,2022-05-18,16,1,0,May
202,Input Output Organization by Dr. BJD Kalyani,2022-05-18,8,1,0,May
203,Significance of Listening Skills by Ms. S Veena,2022-05-18,17,1,0,May
204,Steering Gear Mechanisms by Dr. K Viswanath Allamraju,2022-05-18,12,1,0,May
205,"The Network Layer in the Internet and IPV4,IPV6 Addresses by Ms. K Naveena",2022-05-18,0,0,0,May
206,Significance of LSRW Skills by Ms. S Veena,2022-05-18,5,1,0,May
207,Importance of Soft Skills for Engineering Students by Ms. S Veena,2022-05-18,8,2,0,May
208,Process of Communication Skills by Ms. S Veena,2022-05-18,5,2,0,May
209,Environmental Impact Assessment EIA by Dr. Shikha Pandey,2022-05-17,11,1,0,May
210,Frequent Pattern Growth – FP Growth Algorithm by Ms. Priyanka Gupta,2022-05-17,9,0,0,May
211,Maximal and Closed Frequent Itemset Generation by Ms. Priyanka Gupta,2022-05-17,14,0,0,May
212,Decision Tree Induction Important Factors by Ms. Priyanka Gupta,2022-05-17,5,0,0,May
213,Classification by Decision Tree Induction Basics by Ms  Priyanka Gupta,2022-05-17,21,0,0,May
214,"Bio Medical Waste Management, 2016 by Dr. Shikha Pandey",2022-05-17,7,0,0,May
215,Municipal Solid Waste Management and Handling Rules 2000 by Dr. Shikha Pandey,2022-05-17,56,1,0,May
216,Hazardous Waste Management and Handling Rules by Dr. Shikha Pandey,2022-05-17,24,0,0,May
217,Introduction about Routing Algorithms Part -3 by Ms. K Naveena,2022-05-11,20,0,0,May
218,Graphics by Dr. M Lakshmi Prasad,2022-05-11,19,1,0,May
219,Tables by Dr. M Lakshmi Prasad,2022-05-11,13,0,0,May
220,"Environmental Legislations and Environmental Protection act, 1986 by Dr. Shikha Pandey",2022-05-11,25,1,0,May
221,Generalized Cauchy’s Integral Formula by Ms. P NagaLakshmi Devi,2022-05-11,9,0,0,May
222,Association Rule Generation by Ms. Priyanka Gupta,2022-05-10,16,0,0,May
223,Visual Images by Dr. M Lakshmi Prasad,2022-05-10,7,0,0,May
224,Marching Methods and Shock Capturing in CFD by Mr. P Venkata Mahesh,2022-05-10,26,1,0,May
225,Design Thinking – Part 2 by Mr. B Satyanarayana,2022-05-10,14,3,0,May
226,"Air act - 1981, Water act - 1974, Forest act - 1980 by Dr. Shikha Pandey",2022-05-10,30,1,0,May
227,Introduction to EMTL and Vector Algebra by Dr. D Srikar,2022-05-09,91,4,0,May
228,Karnaugh Map Method – Up to Five Variables by Ms. V Bindusree,2022-05-09,9,0,0,May
229,"International Conventions/Protocols : Earth Summit, Kyoto and Montreal Protocol by Dr. Shikha Pandey",2022-05-09,34,1,0,May
230,Quality of Service in Network Layer by Ms. K Naveena,2022-05-09,19,0,0,May
231,Forms of Governing Equations Suited for CFD by Mr. P Venkata Mahesh,2022-05-08,19,1,0,May
232,Introduction to Presenting Data by Dr. M Lakshmi Prasad,2022-05-08,8,0,0,May
233,Numerical Methods for CFD by Mr. P Venkata Mahesh,2022-05-08,10,0,0,May
234,CFD Process and Philosophy by Mr. P Venkata Mahesh,2022-05-07,11,0,0,May
235,Link State Routing by Ms. K Naveena,2022-05-07,11,0,0,May
236,Frequent Item sets Generation by Ms. Priyanka Gupta,2022-05-07,18,2,0,May
237,"Modified Scott Russel, Watt and Tchebisheff’s Mechanisms by Dr. K Viswanath Allamraju",2022-05-07,11,0,0,May
238,Chemical Technology –  Methods of Green Chemistry Synthesis - Part 2 by Dr. R Srinivasan,2022-05-07,41,3,0,May
239,Introduction to Principles of Primary and Secondary Data by Dr. M Lakshmi Prasad,2022-05-06,28,0,0,May
240,Outcome Based Education OBE by Dr. N Venkatachalapathi,2022-05-06,33,6,0,May
241,Straight line motion mechanisms Pantoghaph by Dr. K Viswanath Allamraju,2022-05-06,19,1,0,May
242,Hart Mechanism and Scott Russel Mechanism by Dr. K Viswanath Allamraju,2022-05-06,7,0,0,May
243,Cauchy’s Integral Formula by Ms. P NagaLakshmi Devi,2022-05-06,8,0,0,May
244,Introduction of Polymer and Their Classification by Dr. Archana Kushwaha,2022-05-06,37,1,0,May
245,Combinations with Repetitions and The Principle of Inclusion Exclusion  by Dr. S Sreekanth,2022-05-06,10,0,0,May
246,Problems on Velocity Analysis of Various Mechanisms Center Method–Part-2 by Dr.K Viswanath Allamraju,2022-05-05,11,0,0,May
247,Problems on Velocity Analysis of Various Mechanisms Center Method–Part-3 by Dr.K Viswanath Allamraju,2022-05-05,11,0,0,May
248,Problems on Velocity Analysis of Various Mechanisms Center Method-Part1 by Dr. K Viswanath Allamraju,2022-05-05,3,0,0,May
249,Fuel Systems - Characteristics and components by Dr. Yagya Dutta Dwivedhi,2022-05-05,7,0,0,May
250,AMCAT Quant Paper - III by Mr. M Sambaraj,2022-05-05,15,1,0,May
251,Modes of Operation of Fuel Systems by Dr. Yagya Dutta Dwivedhi,2022-05-05,10,1,0,May
252,AMCAT Logical Ability - II by Mr. Sambaraj,2022-05-05,5,0,0,May
253,LTI Systems by Dr. S  China Venkateswarlu,2022-05-05,22,3,0,May
254,System Classification Linear Time Invariant LTI System by Dr. S China Venkateswarlu,2022-05-04,16,1,0,May
255,Even and Odd Signals by Dr. S China Venkateswarlu,2022-05-04,35,2,0,May
256,Binomial and Multinomial Theorems by Dr. S Sreekanth,2022-05-04,13,2,0,May
257,Control of Fuel and Air Flow by Dr. Yagya Dutta Dwivedhi,2022-05-04,7,0,0,May
258,Limited and Full Authority Digital Engine Control System FADEC by Dr. Yagya Dutta Dwivedhi,2022-05-04,10,0,0,May
259,Cauchy’s Integral Theorem by Ms. P NagaLakshmi Devi,2022-05-04,4,0,0,May
260,User Group Management in DBMS by Mr. Y Manohar Reddy,2022-05-04,4,1,0,May
261,Distance Vector Routing Algorithm by Ms. K Naveena,2022-05-04,9,2,0,May
262,Chemical Technology Green Chemistry Principles Part -1 by Dr. R Srinivasan,2022-05-04,37,3,0,May
263,Problems on Velocity Analysis by Instantaneous Center Method by Dr. K Viswanath Allamraju,2022-05-04,8,0,0,May
264,Principle of Operation of Aircraft Gas Turbine Engine by Dr. YD Dwivedhi,2022-05-03,20,1,0,May
265,Engine Control and Fuel Systems by Dr. Yagya Dutta Dwivedhi,2022-05-03,33,0,0,May
266,Congestion Control Algorithm by Ms. K Naveena,2022-05-03,5,0,0,May
267,Types of Casting Processes by Dr. N Venkatachalapathi,2022-05-03,35,3,0,May
268,Types of Electrodes by Ms. B Sravanthi,2022-05-02,68,4,0,May
269,Complex Integration by Ms. P NagaLakshmi Devi,2022-05-02,17,0,0,May
270,Problems on Voltage Distribution and String Efficiency by Mr. P Mabu Hussain,2022-05-02,9,0,0,May
271,Problems on Velocity Analysis by Instantaneous Center Method by Dr. K Viswanath Allamraju,2022-05-02,9,0,0,May
272,AMCAT Logical Ability - 1 by Mr. M Sambaraj,2022-05-02,18,4,0,May
273,The Apriori Algorithm by Ms. Priyanka Gupta,2022-05-02,14,1,0,May
274,The Apriori Principle by Ms. Priyanka Gupta,2022-05-02,9,2,0,May
275,Effect of Coupling and Bypass Capacitors on CE Amplifier by Mr. B Naresh,2022-05-02,17,2,0,May
276,Outcome Based Education OBE by Mr. B Naresh,2022-05-02,6,0,0,May
277,Primary and Secondary Sources Examples by Dr. M Lakshmi Prasad,2022-05-02,0,0,0,May
278,Expressive Power of Algebra and Calculus by Mr. Y Manohar Reddy,2022-05-01,25,0,0,May
279,Selection With Various Clauses by Mr. Y Manohar Reddy,2022-05-01,4,0,0,May
280,Relational Calculus by Mr. Y Manohar Reddy,2022-05-01,5,1,0,May
281,Network Routing Algorithms by Ms. K Naveena,2022-05-01,9,2,0,May
282,Over View of Digital Signal Processing by Dr. S China Venkateswarlu,2022-05-01,66,15,0,May
283,Basic Discrete Signals by Dr. S China Venkateswarlu,2022-05-01,23,4,0,May
284,Velocity Analysis if Six and Four Link Mechanisms Instantaneous Center Method by Dr. K Viswanath,2022-05-01,11,0,0,May
